demo,pc_index,explained_var_ratio,loss,init_entropy,final_entropy,final_circ_std_bins,target_entropy,target_circ_std_bins,loss_broad_perbin,loss_sharp_perbin,frac_increase_sharp_over_broad,entropy_lambda,mean_perbin_entropy,trial_entropy,trial_circ_std_bins,target,final_far_mode_mass,target_far_mode_mass,candidate,PCA,KL,JS,Wasserstein,cand_entropy,cand_sigma,cand_shift_bins
basis,0,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,1,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,2,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,3,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,4,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,5,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,6,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,7,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,8,3.4649572626221925e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,9,3.46495580743067e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,10,4.950433662997966e-07,,,,,,,,,,,,,,,,,,,,,,,,
basis,11,4.950432526129589e-07,,,,,,,,,,,,,,,,,,,,,,,,
direct_fit_from_sharp,,,PCA,1.6012582778930664,0.6948751211166382,6.088991720582828,3.6161570681651,8.999978318789658,,,,,,,,,,,,,,,,,,
direct_fit_from_sharp,,,KL,1.6012582778930664,3.6162807941436768,9.001358778466557,3.6161570681651,8.999978318789658,,,,,,,,,,,,,,,,,,
direct_fit_from_sharp,,,JS,1.6012582778930664,2.825021505355835,4.637210213682671,3.6161570681651,8.999978318789658,,,,,,,,,,,,,,,,,,
temporal_mixture,,,PCA,,,,,,0.0847121530040055,0.0011165017434283774,-0.9868200523204456,,,,,,,,,,,,,,,
temporal_mixture,,,KL,,,,,,0.20426440238952637,0.8123874664306641,2.977136774319038,,,,,,,,,,,,,,,
temporal_mixture,,,JS,,,,,,0.059188246726989746,0.07775008678436279,0.31360685750124223,,,,,,,,,,,,,,,
temporal_mixture,,,Wasserstein,,,,,,4.988409519195557,0.8248124122619629,-0.8346542301531393,,,,,,,,,,,,,,,
temporal_training,,,PCA,,,,,,,,,0.0,3.525179704030355,3.525238037109375,9.02338073006383,,,,,,,,,,,
temporal_training,,,KL,,,,,,,,,0.0,3.6136216521263123,3.6162636280059814,9.000422294535456,,,,,,,,,,,
temporal_training,,,JS,,,,,,,,,0.0,3.615918298562368,3.6162662506103516,9.000492875902047,,,,,,,,,,,
temporal_training,,,PCA,,,,,,,,,0.003,0.10173662298863444,1.683884859085083,8.237424864246798,,,,,,,,,,,
temporal_training,,,KL,,,,,,,,,0.003,1.2727724115053813,3.6160786151885986,9.000479179087026,,,,,,,,,,,
temporal_training,,,JS,,,,,,,,,0.003,1.2049376865228016,3.6122310161590576,8.968521314817352,,,,,,,,,,,
gallery,,,PCA,,2.0718886852264404,2.963374016140326,2.517550821829043,2.9999999999999853,,,,,,,,narrow @45 (sigma=3),,,,,,,,,,
gallery,,,KL,,2.5175228118896484,2.9999279476471226,2.517550821829043,2.9999999999999853,,,,,,,,narrow @45 (sigma=3),,,,,,,,,,
gallery,,,JS,,2.4930899143218994,2.940452782304782,2.517550821829043,2.9999999999999853,,,,,,,,narrow @45 (sigma=3),,,,,,,,,,
gallery,,,PCA,,0.6941474676132202,6.08917240062278,4.050252552792827,13.956820272170408,,,,,,,,broad @45 (sigma=14),,,,,,,,,,
gallery,,,KL,,4.050238609313965,13.956657206761246,4.050252552792827,13.956820272170408,,,,,,,,broad @45 (sigma=14),,,,,,,,,,
